,0
2016-02-12,0.10400288782633575
2016-02-15,0.0
2016-02-16,0.010860505207811984
2016-02-17,0.02646983131601625
2016-02-18,0.09367511177112356
2016-02-19,0.009022385138941606
2016-02-22,0.006968463238664582
2016-02-23,0.02367393083980887
2016-02-24,0.022476028621447992
2016-02-25,0.06647991632409747
2016-02-26,0.029635908698339625
2016-02-29,0.04631759040357267
2016-03-01,0.012729108488789873
2016-03-02,0.048186555000848855
2016-03-03,0.05310242445112896
2016-03-04,0.02140423040984385
2016-03-07,0.1278348119861628
2016-03-08,0.10937708335669336
2016-03-09,0.16663323828734786
2016-03-10,0.0408028692419257
2016-03-11,0.04145780972243933
2016-03-14,0.06888298139850035
2016-03-15,-0.020800701454225357
2016-03-16,0.0475794388409454
2016-03-17,0.002148181416207202
2016-03-18,0.04412391959737053
2016-03-21,0.0013236145282296222
2016-03-22,-0.0038773802357605783
2016-03-23,0.02434683994631003
2016-03-24,0.018297124541228137
2016-03-25,0.0
2016-03-28,0.04821042923542576
2016-03-29,-0.016445150645177237
2016-03-30,0.028866210960827664
2016-03-31,0.0018852047697430518
2016-04-01,0.021845229933437176
2016-04-04,0.02042069713288031
2016-04-05,0.011415207551673474
2016-04-06,-0.0021101001447997128
2016-04-07,0.022675464579810557
2016-04-08,0.0715201384964249
2016-04-11,0.10347798941509799
2016-04-12,0.07451838205487298
2016-04-13,-0.02536012265069582
2016-04-14,0.050533768939118776
2016-04-15,0.011169763227978356
2016-04-18,0.025747085142155457
2016-04-19,0.07088915974964785
2016-04-20,0.00969919412134498
2016-04-21,0.024378070108283693
2016-04-22,0.002067680623049381
2016-04-25,0.018880461183076583
2016-04-26,0.037309589971646615
2016-04-27,0.04261976382740252
2016-04-28,0.02924443481546218
2016-04-29,0.1767977596506611
2016-05-02,0.032257336859377955
2016-05-03,0.012198809715671987
2016-05-04,-0.010201662910388282
2016-05-05,0.010203468959373956
2016-05-06,0.012855759786564782
2016-05-09,0.03316484460961497
2016-05-10,0.006211364337438003
2016-05-11,0.013151258747510754
2016-05-12,-0.01655507850256814
2016-05-13,0.045034662237016646
2016-05-16,0.013235519971021313
2016-05-17,0.012329123962402261
2016-05-18,0.00665311821267715
2016-05-19,-0.01831539120569338
2016-05-20,-0.008901744475287741
2016-05-23,0.025273560607706354
2016-05-24,0.028330974141443976
2016-05-25,0.018455012317564277
2016-05-26,0.00665349742463848
2016-05-27,0.026514882181732428
2016-05-30,0.0
2016-05-31,-0.001492790716643984
2016-06-01,0.0065394672812868595
2016-06-02,0.006349114188881121
2016-06-03,0.02280126945530092
2016-06-06,0.08080447061931578
2016-06-07,0.05799372691395601
2016-06-08,0.07207438414672486
2016-06-09,0.028125316175685377
2016-06-10,0.06621711704786426
2016-06-13,0.011881402335378299
2016-06-14,0.022385494588792652
2016-06-15,-0.006547425841766498
2016-06-16,-0.008583669448199539
2016-06-17,0.04660649163174613
2016-06-20,0.012984515877755504
2016-06-21,0.03310117760146966
2016-06-22,0.010348596150577451
2016-06-23,0.008257283083270218
2016-06-24,0.00697075226113744
2016-06-27,0.006511214754681638
2016-06-28,0.04776450147610429
2016-06-29,0.010063439184292195
2016-06-30,0.03056830711617749
2016-07-01,0.04749762355218472
2016-07-04,0.0
2016-07-05,4.407603982852986
2016-07-06,-0.005457702800852572
2016-07-07,0.004732688186213671
2016-07-08,0.1762396967811254
2016-07-11,0.06321714311874509
2016-07-12,-0.014785747936083837
2016-07-13,0.01728234226321496
2016-07-14,0.045969296402696
2016-07-15,0.044621867992410094
2016-07-18,0.05891097479411568
2016-07-19,0.0035932333787739544
2016-07-20,0.0010876172243746837
2016-07-21,0.02516303374164052
2016-07-22,0.10163734341983445
2016-07-25,0.020563265170305753
2016-07-26,0.010212806479428748
2016-07-27,0.023923074053599242
2016-07-28,0.014824989804718683
2016-07-29,0.020055684864042283
2016-08-01,0.0898946370609901
2016-08-02,0.02853061328288316
2016-08-03,0.0432793720692261
2016-08-04,-0.0027666573394691907
2016-08-05,0.0069133937225839374
2016-08-08,0.01841476051416273
2016-08-09,0.03782583925489046
2016-08-10,0.016621272534787512
2016-08-11,0.029738709724796884
2016-08-12,0.03752140115130477
2016-08-15,0.061180105108786284
2016-08-16,-0.009036075934990045
2016-08-17,0.03342319029444537
2016-08-18,0.158747658201282
2016-08-19,0.037294046671741264
2016-08-22,0.05689447497267138
2016-08-23,-0.0016461193798301677
2016-08-24,0.04058194294232296
2016-08-25,0.020543640515307663
2016-08-26,-0.010258892755030067
2016-08-29,0.007159863355413891
2016-08-30,-0.0016522182308686669
2016-08-31,0.03795284181105475
2016-09-01,-0.006643911811060009
2016-09-02,0.016483245187458178
2016-09-05,0.0
2016-09-06,0.18042994593346895
2016-09-07,0.0062068578094891125
2016-09-08,0.09171302148079874
2016-09-09,-0.01752994939664476
2016-09-12,0.037408279282901406
2016-09-13,-0.00945367770416482
2016-09-14,0.019699986153917645
2016-09-15,0.008598435056380188
2016-09-16,0.043344942402117996
2016-09-19,0.008712279745189585
2016-09-20,-0.0009345425563638968
2016-09-21,0.0010907304846472952
2016-09-22,-0.011357395111452168
2016-09-23,0.0364819360281434
2016-09-26,0.01432392556088372
2016-09-27,0.004906881901006536
2016-09-28,0.010274881203427285
2016-09-29,0.03606160231886117
2016-09-30,0.004770032215869473
2016-10-03,-0.007233802738807253
2016-10-04,0.0062145657365858045
2016-10-05,0.0254283608082485
2016-10-06,-0.0024061596543104857
2016-10-07,0.021570811766149424
2016-10-10,0.0035528600188729853
2016-10-11,-0.00411185933331231
2016-10-12,0.001955926490536713
2016-10-13,-0.0007690028409796009
2016-10-14,0.0027927499289870095
2016-10-17,-0.008038715473434186
2016-10-18,0.012307027966880497
2016-10-19,0.008870254000797148
2016-10-20,0.02587977507686761
2016-10-21,0.0072355474981710575
2016-10-24,-0.0005468338776691121
2016-10-25,0.005812512397699801
2016-10-26,0.017890365781089965
2016-10-27,65.45473358059034
2016-10-28,-0.018486728713292384
2016-10-31,-0.02595154713245834
2016-11-01,0.03596390463005993
2016-11-02,-0.0028169156447460514
2016-11-03,-0.011080769277572664
2016-11-04,0.17464611005719702
2016-11-07,0.48894908389727826
2016-11-08,0.025107150430961307
2016-11-09,0.02984561610250561
2016-11-10,0.033409951436408986
2016-11-11,0.05556302570743949
2016-11-14,0.034445887763241784
2016-11-15,-0.0035897764677155896
2016-11-16,0.04820523488312922
2016-11-17,0.04679972712825815
2016-11-18,-7.283140231062772e-05
2016-11-21,920.2689023462791
2016-11-22,0.10395224703762293
2016-11-23,-0.0602878158059595
2016-11-24,0.0
2016-11-25,0.13335814954756206
2016-11-28,-0.08013173804285442
2016-11-29,-0.02794990117702383
2016-11-30,-0.0032446523682301376
2016-12-01,0.003961194970654072
2016-12-02,0.012220594079155888
2016-12-05,0.06434605409982642
2016-12-06,0.007663791995722103
2016-12-07,0.024561348368435366
2016-12-08,0.009655189799435148
2016-12-09,0.07354421676465547
2016-12-12,0.03805824599792007
2016-12-13,-0.055952041446104286
2016-12-14,-0.02041547405439851
2016-12-15,-0.01516955979873471
2016-12-16,0.04110374081443605
2016-12-19,0.023215673800391662
2016-12-20,0.011659030056088539
2016-12-21,0.007279472425923178
2016-12-22,0.0012778357769552737
2016-12-23,0.014944810670973249
2016-12-26,0.0
2016-12-27,0.003649052336948492
2016-12-28,-0.04941566722769949
2016-12-29,-0.0043295301092694674
